productid,avg_score,num_reviews
B0000CNU5B,5.0,2
B0000CNU5N,1.0,1
B0000CNU5R,5.0,1
B0000CNU5T,5.0,1
B0000CNU6Q,5.0,1
B0000CNU72,5.0,1
B0000CNU78,3.0,1
B0000CNU7C,5.0,3
B0000D15S0,5.0,1
B0000D15YK,5.0,1
B0000D15YQ,3.789473684210526,19
B0000D1666,5.0,1
B0000D1675,4.9,10
B0000D1699,3.0,2
B0000D16HU,4.333333333333333,3
B0000D16IP,3.0,2
B0000D16QZ,5.0,1
B0000D16V0,1.0,1
B0000D16YH,2.3333333333333335,3
B0000D1728,1.0,1
B0000D179U,5.0,1
B0000D179V,5.0,1
B0000D17BH,5.0,2
B0000D17C5,5.0,1
B0000D17CF,5.0,2
B0000D17FW,5.0,1
B0000D17HA,4.5,8
B0000D17HK,4.25,4
B0000D17LB,5.0,1
B0000D17NM,4.666666666666667,3
B0000D17NR,5.0,1
B0000D17NY,3.5,2
B0000D17RB,5.0,1
B0000D17RQ,1.0,1
B0000D17UF,5.0,1
B0000D17W5,4.0,1
B0000D17XD,2.0,1
B0000D18YP,5.0,1
B0000D196M,5.0,1
B0000D88B6,3.5,2
B0000D89R5,5.0,3
B0000D8DI0,3.375,8
B0000D8KFO,5.0,1
B0000D8KJC,5.0,2
B0000D9169,5.0,1
B0000D916F,4.0,1
B0000D919L,5.0,1
B0000D94M3,5.0,3
B0000D94N3,5.0,2
B0000D94OR,1.75,4
B0000D94OW,1.0,1
B0000D94P1,4.5,4
B0000D94P6,1.0,2
B0000D94PA,3.0,6
B0000D94PG,3.5,2
B0000D94PP,1.0,1
B0000D94PU,5.0,1
B0000D94PZ,5.0,2
B0000D94R9,5.0,1
B0000D94RL,5.0,1
B0000D94RZ,3.0,1
B0000D94SZ,4.0,1
B0000D94TV,5.0,1
B0000D94U0,2.0,1
B0000D94V5,5.0,1
B0000D94V9,4.0,1
B0000D94WF,5.0,1
B0000D94WO,1.0,1
B0000D952M,5.0,1
B0000D953W,5.0,5
B0000D9541,5.0,4
B0000D954D,4.166666666666667,6
B0000D956H,4.5,2
B0000D956L,4.0,1
B0000D9589,3.125,8
B0000D958H,4.666666666666667,3
B0000D958O,2.857142857142857,7
B0000D9MR9,4.0,2
B0000D9MRD,5.0,1
B0000D9MSD,4.0,3
B0000D9MSP,5.0,1
B0000D9MSY,5.0,1
B0000D9MT1,4.5,4
B0000D9MT2,4.666666666666667,3
B0000D9MTJ,4.5,2
B0000D9MTL,4.5,2
B0000D9MTS,4.0,2
B0000D9MU1,5.0,2
B0000D9MUE,5.0,3
B0000D9MVD,5.0,2
B0000D9MVO,2.0,1
B0000D9MVT,5.0,1
B0000D9MWS,1.0,2
B0000D9MWT,5.0,2
B0000D9MX0,5.0,4
B0000D9MXL,5.0,4
B0000D9MXU,5.0,5
B0000D9MY0,3.0,1
B0000D9MY3,3.0,2
B0000D9MYJ,5.0,1
B0000D9MYL,5.0,1
B0000D9MYM,5.0,2
B0000D9MYO,3.5,4
B0000D9MZM,4.142857142857143,7
B0000D9MZZ,5.0,1
B0000D9N0F,4.5,2
B0000D9N0I,3.0,2
B0000D9N0Q,5.0,5
B0000D9N12,5.0,1
B0000D9N17,4.833333333333333,6
B0000D9N1H,4.909090909090909,11
B0000D9N1U,4.75,4
B0000D9N2P,5.0,1
B0000D9N2Q,1.0,1
B0000D9N35,5.0,1
B0000D9N38,5.0,2
B0000D9N3M,1.0,1
B0000D9N42,5.0,1
B0000D9N4M,3.6,5
B0000D9N4P,4.333333333333333,6
B0000D9N4Q,5.0,1
B0000D9N4V,5.0,1
B0000D9N50,5.0,1
B0000D9N59,4.5625,16
B0000D9N5P,3.0,2
B0000D9N5Q,5.0,2
B0000D9N63,4.8,5
B0000D9N64,4.666666666666667,3
B0000D9N68,4.0,2
B0000D9N6N,5.0,5
B0000D9N6T,5.0,1
B0000D9N6V,4.666666666666667,3
B0000D9N72,5.0,1
B0000D9N74,3.6666666666666665,3
B0000D9N7E,5.0,1
B0000D9N7H,5.0,1
B0000D9N7T,5.0,1
B0000D9N7U,4.5,4
B0000D9N8O,4.636363636363637,11
B0000D9N9A,4.0,3
B0000D9N9S,4.181818181818182,11
B0000D9N9X,4.0,2
B0000D9NAN,5.0,1
B0000D9NBV,4.2,5
B0000D9NC9,5.0,1
B0000D9NCJ,3.0,1
B0000D9NCK,4.0,1
B0000D9NCV,3.5,2
B0000D9NDG,5.0,5
B0000DA0XE,3.6666666666666665,3
B0000DA0XJ,5.0,1
B0000DAIPK,5.0,1
B0000DAIPM,4.0,4
B0000DANYR,4.0,1
B0000DANZ0,1.0,1
B0000DBN1F,4.333333333333333,24
B0000DBN1H,3.888888888888889,9
B0000DBN1I,4.588235294117647,17
B0000DBN1L,4.636363636363637,11
B0000DBN1M,3.8,5
B0000DBN1O,4.0,6
B0000DBN1Q,3.75,12
B0000DBN2F,4.9411764705882355,17
B0000DBN2G,4.5,6
B0000DBN2I,4.0,23
B0000DBN2K,4.4,5
B0000DBPLI,3.0,1
B0000DC2T7,4.0,1
B0000DC2TK,5.0,2
B0000DC2TS,5.0,1
B0000DC2TW,5.0,1
B0000DC2U7,5.0,1
B0000DC2UL,5.0,1
B0000DC2UV,4.0,2
B0000DC2V5,5.0,1
B0000DC324,5.0,2
B0000DC32J,2.0,1
B0000DC32S,5.0,2
B0000DC332,4.0,7
B0000DC5IY,1.0,2
B0000DCKCN,5.0,1
B0000DCWT9,5.0,1
B0000DCWW5,5.0,2
B0000DCWWB,3.0,1
B0000DCWWI,4.8,5
B0000DCWX3,5.0,1
B0000DCWX4,5.0,1
B0000DCWYO,5.0,1
B0000DCWZA,5.0,1
B0000DCWZX,5.0,1
B0000DCX0P,5.0,1
B0000DCX1H,5.0,1
B0000DCX8R,1.0,1
B0000DCX9P,4.0,2
B0000DCX9Q,4.0,5
B0000DCXCM,3.0,2
B0000DCXDH,5.0,1
B0000DCXFW,3.6666666666666665,3
B0000DCXFY,5.0,2
B0000DCXFZ,5.0,2
